position,energie,bpm,genre,artiste,titre,chemin
21,0.634,132,Electro,Vlad (UK),POP (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\013_Vlad (UK) - POP (Extended Mix).mp3
22,0.675,128,Techno,Dimmish,Mr. Liar (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\019_Dimmish - Mr. Liar (Original Mix).mp3
23,0.600,128,House,Caique Carvalho,Get It Right (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\035_12 - Caique Carvalho - Get It Right (Extended Mix).mp3
24,0.611,129,Tech House,Andre Zimmer,The Funk,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\010_Andre Zimmer - The Funk.mp3
25,0.679,151,Synth-pop,Cube,Concert Boy,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\026_Cube - Concert Boy (Original 12 Version).mp3
26,0.608,130,UK Garage,Osmosis Jones,Hellraiser (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\Osmosis Jones - Hellraiser (Original Mix).mp3
27,0.674,134,Techno,?,036_Hidde Van Wee - Far Out (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\036_Hidde Van Wee - Far Out (Original Mix).mp3
28,0.641,132,House,"Breaking Beattz, Almanac",People In The House (Extended Mix),"C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\033_Breaking Beattz, Almanac - People In The House (Extended Mix).mp3"
29,0.562,128,Deep Techno,Max Dean,Can't Slow Down,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\030_Max Dean - Can't Slow Down.mp3
30,0.561,130,Speed Garage,Luke Dean,Silly People,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\006_Luke Dean - Silly People.mp3
31,0.560,133,UK Garage,Sidney Charles & Bugs UK,"Trip Advisor (Rhythm, Snare, Bass) (2025 Warp Mix) (Rhythm, Snare, Bass)","C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\004_Sidney Charles - Trip Advisor (Rhythm, Snare, Bass) (Original Mix).mp3"
32,0.702,130,Techno,Joshwa,High (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\024_Joshwa - High (Original Mix).mp3
33,0.615,128,House,CALVES,Dangerous (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\032_09 - CALVES - Dangerous (Original Mix).mp3
34,0.599,131,House,Last Value,Bassline Heavy (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\017_Last Value - Bassline Heavy (Original Mix).mp3
35,0.616,130,Techno,Junior Souza,Explicity (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\029_16 - Junior Souza - Explicity (Original Mix).mp3
36,0.627,128,House,alan c,groove in me (original mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\039_02-alan c - groove in me (original mix).mp3
37,0.632,132,House,theodore kittens,pump the bass (original mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\022_05-theodore kittens - pump the bass (original mix).mp3
38,0.612,130,Techno,Jamback,FEEL THE MUSIC (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\014_Jamback - FEEL THE MUSIC (Original Mix).mp3
39,0.704,127,House,?,Groove Committee - I Want You To Know (Inner Sense Knows The Truth Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\Unknown - Groove Committee - I Want You To Know (Inner Sense Knows The Truth Mix).mp3
40,0.633,131,Techno,Reelow,Street Criminal (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\038_Reelow - Street Criminal (Original Mix).mp3
41,0.598,135,Techno,Locklead,Mystic Nights (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\037_Locklead - Mystic Nights (Original Mix).mp3
42,0.594,129,House,Bingil,No Reason (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\040_04 - Bingil - No Reason (Extended Mix).mp3
43,0.558,132,Speed Garage,"Locky, Luke Dean",Where's The Party (Orig. Mix) (Clean) 2A 132,"C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\031_Locky, Luke Dean - Where's The Party (Orig. Mix) (Clean) 2A 132.mp3"
44,0.539,130,Tech House,LOTTEN,5 Letras,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\LOTTEN - 5 Letras.mp3
45,0.533,129,Deep Techno,Ruze,Hardwire,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\Ruze - Hardwire.mp3
46,0.591,130,Techno,Herr Krank,All Chattering,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\043_01-20. Herr Krank - All Chattering.mp3
47,0.585,128,House,Patrick Topping,Boom Shakalak (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\053_Patrick Topping - Boom Shakalak (Extended Mix).mp3
48,0.581,130,Techno,ledi cannit,cool kids of 95 (original mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\053_18-ledi cannit - cool kids of 95 (original mix).mp3
49,0.535,125,Tech House,George Smeddles,Breathe (Ki Creighton Remix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\059_11A - 125 - Breathe (Ki Creighton Remix) - George Smeddles.mp3
50,0.531,127,Deep Techno,Mike.D,Masa Encefalica (Surrender Discipline Remix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\060_Mike.D - Masa Encefalica (Surrender Discipline Remix).mp3
51,0.582,130,Techno,Friendly Fire (Us),Prescribe The Sound (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\048_02-friendly fire (us) - prescribe the sound (extended mix).mp3
52,0.574,131,House,?,045_J.K. Rollin - Where's The Party At (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\045_J.K. Rollin - Where's The Party At (Original Mix).mp3
53,0.571,128,House,Justin Timberlake,Rock Your Body (Fede Aliprandi Edit) 128,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\055_Justin Timberlake - Rock Your Body (Fede Aliprandi Edit) 128.mp3
54,0.579,130,House,?,007_130 - Last Value - House Is A Feeling - Extended Mix,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\007_130 - Last Value - House Is A Feeling - Extended Mix.mp3
55,0.578,129,Techno,M-High,On My Own Supply (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\051_M-High - On My Own Supply (Original Mix).mp3
56,0.571,128,House,Jamie Coins,Still Flexin',C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\056_Jamie Coins - Still Flexin'.mp3
57,0.570,131,Techno,Rello,KO (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\Rello - KO (Original Mix).mp3
58,0.496,126,Tech House,ANOTR,Don't Mind Ya Weight,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\062_ANOTR - Don't Mind Ya Weight.mp3
59,0.477,130,Speed Garage,?,071_139. Job De Jong - Dub House (Kepler Remix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\071_139. Job De Jong - Dub House (Kepler Remix).mp3
60,0.565,132,House,J.K. Rollin,Lick It (Orig. Mix) (Dirty) 2A 132,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\057_J.K. Rollin - Lick It (Orig. Mix) (Dirty) 2A 132.mp3
61,0.564,129,House,Ruze,Mindset,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\065_Ruze - Mindset.mp3
62,0.522,125,Techno,anakiva,in the house (original mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\063_19-anakiva - in the house (original mix).mp3
63,0.564,128,House,Lauren Lo Sung,Purpose,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\062_Lauren Lo Sung - Purpose.mp3
64,0.540,129,House,Marc Cotterell,Quicksand (ZAV Club Piano Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\068_11-marc cotterell-quicksand (zav club piano mix).mp3
65,0.555,128,House,Retromigration,Half Fried Original Mix,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\061_Retromigration - Half Fried Original Mix.mp3
66,0.533,131,House,Manu Barcelo,Good Times (Lolu Menayed Remix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\066_16-manu barcelo-good times (lolu menayed remix).mp3
67,0.516,131,House,Mad.Again & Locky (UK),Sweat,"C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\069_Locky (Uk), Mad.Again - Sweat (Original Mix) (Intro Clean).mp3"
68,0.513,127,House,Castaman & Luca Vanelli,Ready To Go (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\070_14-castaman and luca vanelli-ready to go (extended mix).mp3
69,0.504,124,House,W.O.L.F. & justoese,TODOS SON DJS (Ruben Coslada Remix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\071_01-w.o.l.f. and justoese-todos son djs (ruben coslada remix).mp3
70,0.504,130,House,Jamback,Ain't Nobody Bad,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\073_Jamback - Ain't Nobody Bad.mp3
71,0.489,131,House,Jamback,Metronomic Original Mix,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\072_Jamback - Metronomic Original Mix.mp3
72,0.489,129,House,Jesse Maas,LTD,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\075_Jesse Maas - LTD.mp3
73,0.489,128,House,Cinthie,U Gotta Believe (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\076_Cinthie - U Gotta Believe (Original Mix).mp3
74,0.477,128,House,Unknown,I Like Big Pawww,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\077_Unknown - I Like Big Pawww.mp3
75,0.452,134,House,Luke Dean,Get Busy (Original Mix) 134,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\078_Luke Dean - Get Busy (Original Mix) 134.mp3
76,0.271,128,House,Metro L.a,Here For The Love (Metropolitan Acid Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\079_Metro L.a. - Here For The Love (Metropolitan Acid Mix).mp3
